ID,deliveryID,source,destination,plant,packedDate,customer,shipmentNumber,shipmentStatus,plnPickUpDate,pickUpDate,plnDeliveryDate,estDeliveryDate,carrier,incoterms,incoterms2,lastLocation,lastLocationDateTime,systemName,endCustomer,legType,remainingLegs,plnPickUpMonth,estDeliveryMonth
e6a7ba6f-1e34-4ce2-8d20-a17990ba27be,8001001,"Malvern, UK","London, UK",1020,13-04-2026,Zenith Retail,SHP-755899,Not Planned,2026-04-14T01:00:00Z,2026-04-14T03:00:00Z,2026-04-17T01:00:00Z,2026-04-17T03:00:00Z,DHL Express,FOB,Port of Entry,"New York, US",2026-04-14T08:00:00Z,SAP_S4_HANA,Client_C,Sea,3,01-04-2026,01-04-2026
faf45c42-435a-4004-aa1c-6ef421815ead,8001002,Malvern UK,"London, UK",3000,13-04-2026,Indo-Euro Logistics,SHP-838585,Delivered,2026-04-14T06:00:00Z,2026-04-14T08:00:00Z,2026-04-16T06:00:00Z,2026-04-16T08:00:00Z,Blue Dart,DDP,Port of Entry,"Dubai, UAE",2026-04-14T13:00:00Z,SAP_S4_HANA,Client_C,Road,1,01-04-2026,01-04-2026
9598c471-8123-4c29-a987-2dc87dfa02d5,8001003,"Almelo, NL","Mumbai, IN",3000,12-04-2026,Zenith Retail,SHP-962610,Carrier Assigned,2026-03-13T02:00:00Z,2026-04-13T04:00:00Z,2026-04-16T02:00:00Z,2026-04-16T04:00:00Z,FedEx,DAP,Port of Entry,"New York, US",2026-04-13T09:00:00Z,SAP_S4_HANA,Client_B,Air,4,01-03-2026,01-03-2026
1f29edea-4515-4c84-b98c-0e31041e2e32,8001004,"Almelo, NL","Dubai, UAE",2010,15-04-2026,Apex Manufacturing,SHP-964337,Delivered,2026-04-16T02:00:00Z,2026-04-16T04:00:00Z,2026-04-18T02:00:00Z,2026-04-18T04:00:00Z,DB Schenker,DDP,Port of Entry,"Singapore, SG",2026-04-16T09:00:00Z,SAP_S4_HANA,Client_A,Air,0,01-04-2026,01-03-2026
6a5d5f40-52ea-4374-b8af-7a8512271f39,8001005,"Malvern, UK","Mumbai, IN",1020,01-04-2026,Northern Star Ltd,SHP-661767,Not Planned,2026-02-02T01:00:00Z,2026-04-02T02:00:00Z,2026-04-08T01:00:00Z,2026-04-08T02:00:00Z,Maersk,EXW,Port of Entry,"Dubai, UAE",2026-04-02T07:00:00Z,SAP_S4_HANA,Client_A,Road,4,01-02-2026,01-03-2026
cc4552ef-13a5-45df-8e23-d2ebb739c3d3,8001006,"Almelo, NL","Dubai, UAE",1020,01-04-2026,Zenith Retail,SHP-941192,Carrier Assigned,2026-04-02T08:00:00Z,2026-04-02T10:00:00Z,2026-04-09T08:00:00Z,2026-04-09T10:00:00Z,Blue Dart,DAP,Port of Entry,"Dubai, UAE",2026-04-02T15:00:00Z,SAP_S4_HANA,Client_C,Air,4,01-04-2026,01-03-2026
d1efda83-4603-46ab-bf31-b6edc5d3cd96,8001007,"Zürich, CH","Dubai, UAE",1010,07-04-2026,Indo-Euro Logistics,SHP-651384,In Transit,2026-04-08T06:00:00Z,2026-04-08T08:00:00Z,2026-04-10T06:00:00Z,2026-04-10T08:00:00Z,DHL Express,CIF,Port of Entry,"London, UK",2026-04-08T13:00:00Z,SAP_S4_HANA,Client_C,Air,0,01-04-2026,01-03-2026
3b897496-cb3d-494c-afe2-e06f22283ab1,8001008,"Zürich, CH","London, UK",1020,13-04-2026,Zenith Retail,SHP-679118,In Transit,2026-04-14T07:00:00Z,2026-04-14T09:00:00Z,2026-04-16T07:00:00Z,2026-04-16T09:00:00Z,DB Schenker,CIF,Port of Entry,"Singapore, SG",2026-04-14T14:00:00Z,SAP_S4_HANA,Client_B,Sea,3,01-04-2026,01-02-2026
4f6a3ef0-e3d0-4ea5-b099-047ec4d66857,8001009,Malvern UK,"Singapore, SG",2010,13-04-2026,Northern Star Ltd,SHP-741997,Not Planned,2026-04-14T01:00:00Z,2026-04-14T03:00:00Z,2026-04-16T01:00:00Z,2026-04-16T03:00:00Z,,DAP,Port of Entry,"Dubai, UAE",2026-04-14T08:00:00Z,SAP_S4_HANA,Client_A,Road,1,01-04-2026,01-02-2026
c113d186-3745-49f1-bd08-97b9c7f75b93,8001010,"Almelo, NL","Hamburg, DE",3000,16-03-2026,Apex Manufacturing,SHP-709475,Carrier Assigned,2026-04-17T05:00:00Z,2026-04-17T07:00:00Z,2026-04-20T05:00:00Z,2026-04-20T07:00:00Z,Blue Dart,DDP,Port of Entry,"London, UK",2026-04-17T12:00:00Z,SAP_S4_HANA,Client_A,Road,4,01-04-2026,01-02-2026
